x,y,z,radius
217.469,-0.699184,67.2851,25
225.337,-0.699184,67.5213,25
236.086,-0.699184,68.3863,25
243.133,-0.699184,69.2009,25
251.716,-0.699184,70.3031,25
260.616,-0.699184,72.289,25
271.248,-0.699184,74.7635,25
284.178,-0.699183,77.7731,25
296.895,-0.699183,81.2349,25
312.917,-0.699182,85.9007,25
326.854,-0.699181,92.1604,25
343.602,-0.699181,99.7721,25
358.687,-0.69918,105.602,25
375.614,-0.699179,111.499,25
403.365,-0.699179,116.32,25
422.156,-0.69918,107.547,25
429.532,-0.635353,97.6285,25
440.354,-0.721157,89.4902,25
451.52,-0.699182,87.5145,25
463.456,-0.699182,91.313,25
467.545,-0.699181,94.7112,25
470.108,-0.699181,98.0065,25
472.51,-0.69918,103.071,25
473.721,-0.699179,110.738,25
472.391,-0.704102,122.298,25
468.196,-0.695715,134.516,25
460.583,-0.268798,152.355,25
452.981,0.44237,166.345,25
443.643,1.03847,179.764,25
431.234,1.15541,194.104,25
418.871,1.14794,205.645,25
403.496,1.1475,219.974,25
388.13,1.1475,231.292,25
373.028,1.1475,241.973,25
359.123,1.14751,251.806,25
346.645,1.14751,260.281,25
331.86,1.14751,267.302,25
317.265,1.14751,271.913,25
304.88,1.14503,272.32,25
285.899,0.179018,272.295,25
273.007,-0.357916,272.515,25
255.786,-0.937457,277.096,25
236.773,-0.945109,284.566,25
222.488,-0.776912,290.422,25
205.694,-0.334204,300.393,25
190.962,-0.0103615,308.679,25
173.728,0.0199718,317.819,25
157.851,0.0199726,324.588,25
139.344,0.0199732,329.284,25
122.477,0.0199731,328.351,25
105.416,0.0199728,325.627,25
86.7469,0.0199723,321.368,25
60.5449,0.0199715,315.392,25
44.0504,0.0199711,311.63,25
25.8942,0.0199706,307.489,25
11.544,0.0199702,304.216,25
-7.91565,0.00333457,304.583,25
-21.259,0.307457,308.278,25
-31.8658,0.763732,317.138,25
-36.796,1.00786,327.341,25
-39.9339,1.24714,338.884,25
-46.4794,1.3728,355.708,25
-57.2792,1.37607,367.979,25
-71.2115,1.37607,375.274,25
-87.4797,1.37607,378.333,25
-106.985,1.28562,378.814,25
-122.389,1.23356,377.272,25
-139.594,1.10443,375.404,25
-152.716,0.9925,373.208,25
-169.776,0.835855,371.029,25
-186.103,0.612546,369.32,25
-201.194,0.29386,366.237,25
-215.63,0.0450399,363.198,25
-243.934,0.00317299,356.649,25
-272.659,0.0199755,348.276,25
-287.463,0.0199749,343.188,25
-300.374,0.0199742,338.034,25
-312.391,0.0199735,331.861,25
-323.108,0.0199729,326.355,25
-336.082,0.0199722,320.814,25
-349.868,0.0199717,316.711,25
-363.179,0.0199712,312.592,25
-373.395,0.0199707,308.358,25
-388.331,0.01997,302.169,25
-400.929,0.0199693,296.949,25
-413.051,0.0565686,291.926,25
-423.116,0.197534,286.403,25
-436.276,0.411234,278.431,25
-448.969,0.620625,268.063,25
-462.904,0.846431,256.495,25
-471.183,1.01733,247.864,25
-476.197,1.07382,238.006,25
-479.069,0.975572,228.519,25
-480.044,0.980252,219.732,25
-480.65,0.980738,212.653,25
-482.404,1.00066,205.212,25
-486.507,0.834803,197.364,25
-490.791,0.536842,190.825,25
-496.664,0.327092,183.751,25
-505.463,0.21467,173.269,25
-516.212,0.149026,165.006,25
-530.947,0.0604349,157.614,25
-543.725,0.014568,150.922,25
-557.372,0.013169,143.775,25
-570.321,0.0199503,137.608,25
-579.787,0.0199499,133.474,25
-587.875,0.0199494,129.943,25
-600.004,0.0199488,124.647,25
-608.907,0.0199484,121.1,25
-619.974,0.0199479,117.055,25
-632.756,0.0199473,112.383,25
-645.885,0.0199468,107.584,25
-665.936,0.0199459,100.254,25
-683.847,0.0199452,94.7881,25
-697.919,0.0199449,91.9913,25
-717.638,0.0199446,89.5364,25
-738.603,0.0199445,88.8072,25
-753.681,0.0199445,88.6479,25
-771.341,0.0199445,88.4614,25
-792.872,0.0199445,88.234,25
-807.871,0.0199445,88.0756,25
-822.552,0.0199444,87.9205,25
-839.537,0.0199444,87.7411,25
-874.559,0.0199421,68.101,25
-862.624,0.0199389,41.1628,25
-857.048,0.0199386,38.7371,25
-852.675,0.0199384,37.8618,25
-847.548,0.0199384,37.8475,25
-841.44,0.0312868,39.2443,25
-833.952,0.18628,42.2048,25
-825.08,0.458359,45.3892,25
-814.745,0.781538,48.2412,25
-804.021,1.11526,50.352,25
-790.999,1.41109,51.8335,25
-777.479,1.4792,51.969,25
-761.576,1.51259,50.0957,25
-744.911,1.15942,47.4703,25
-729.248,0.741928,45.0028,25
-712.914,0.435345,42.4296,25
-695.072,0.268801,39.6187,25
-678.346,0.189477,36.9839,25
-661.657,0.266906,34.3545,25
-645.991,0.531321,31.8866,25
-629.651,0.85385,29.3125,25
-612.921,1.04681,26.6768,25
-595.85,0.944471,23.9874,25
-579.029,0.681655,21.9768,25
-563.253,0.427028,21.7741,25
-545.931,0.102693,21.5516,25
-528.266,0.0199365,21.3247,25
-512.456,0.0199365,21.1216,25
-496.605,0.0199364,20.918,25
-475.635,0.0199364,21.0124,25
-460.186,0.0199365,21.1385,25
-440.736,0.0199366,22.4273,25
-424.979,0.0199368,23.7089,25
-408.077,0.0199368,24.1287,25
-394.442,0.0199368,23.8412,25
-378.248,0.0199368,23.4998,25
-362.438,0.0199367,23.1665,25
-340.691,0.0199367,22.708,25
-310.916,0.0199367,23.1986,25
-293.262,0.0199369,24.2783,25
-277.845,0.0199369,25.2212,25
-262.786,0.0199371,26.1423,25
-246.651,0.0199372,27.1291,25
-229.006,0.0199373,28.2083,25
-214.307,0.0199374,29.1073,25
-200.786,0.0199375,29.9342,25
-184.633,0.0199376,30.9222,25
-167.428,0.0199378,31.9745,25
-152.969,0.0199379,32.8587,25
-136.813,0.019938,33.8469,25
-121.593,0.0199381,34.7777,25
-107.089,0.0199382,35.6648,25
-90.7043,0.0199383,36.6668,25
-75.1971,0.0199386,38.7684,25
-65.8011,0.0199389,42.008,25
-55.0249,-0.0185376,47.198,25
-44.183,-0.438996,53.2231,25
-33.7921,-0.687251,58.5637,25
-19.3358,-0.699185,63.2202,25
-4.81085,-0.699185,65.4157,25
10.2592,-0.699185,66.3168,25
26.7728,-0.699185,67.1051,25
42.2362,-0.699184,67.8433,25
59.1312,-0.699184,68.6497,25
74.5702,-0.699184,69.3867,25
91.8612,-0.699184,70.2122,25
106.936,-0.699184,70.9316,25
122.381,-0.699184,71.6689,25
137.816,-0.699184,72.4056,25
154.362,-0.699184,73.1955,25
169.06,-0.699184,73.897,25
182.701,-0.699184,74.5482,25
198.835,-0.699183,75.3183,25
211.737,-0.699183,75.9343,25
