x,y,z,radius
-499.311,1.03842,-143.343,25
-498.979,1.07493,-147.151,25
-498.6,1.13497,-153.866,25
-498.057,1.21185,-163.474,25
-497.031,1.30361,-175.137,25
-495.913,1.40646,-187.233,25
-493.659,1.58843,-205.084,25
-488.396,1.88216,-232.258,25
-477.589,2.19486,-258.734,25
-459.456,2.51506,-277.509,25
-429.188,2.81466,-290.77,25
-398.995,3.2386,-294.913,25
-373.221,3.6309,-294.28,25
-346.016,4.10193,-293.444,25
-318.776,4.55955,-292.606,25
-292.709,4.79525,-291.518,25
-269.675,4.89867,-286.902,25
-246.156,4.85988,-280.74,25
-218.286,4.57842,-275.616,25
-194.228,4.25312,-272.876,25
-166.592,3.74843,-272.963,25
-142.089,3.16689,-275.06,25
-120.009,2.91298,-274.81,25
-96.7266,2.86639,-269.377,25
-71.7913,3.17905,-257.607,25
-48.5005,3.48809,-246.563,25
-25.002,3.38015,-240.708,25
-3.98709,3.0672,-243.724,25
18.4044,2.47566,-247.862,25
42.874,1.62998,-245.539,25
64.5009,0.894712,-232.494,25
77.4884,0.290652,-214.109,25
87.5773,-0.277062,-191.59,25
98.0697,-0.742911,-172.242,25
111.415,-0.914402,-154.298,25
126.228,-1.00957,-139.374,25
143.721,-1.13785,-122.021,25
160.708,-1.27119,-107.915,25
177.14,-1.44168,-94.2701,25
190.715,-1.6384,-81.3168,25
206.037,-1.91944,-66.4477,25
220.836,-2.2121,-52.0865,25
236.141,-2.34599,-37.2343,25
250.944,-2.76513,-22.8687,25
267.142,-2.95433,-7.28774,25
283.108,-3.17471,6.26638,25
299.769,-3.51765,20.7296,25
315.374,-3.93989,35.8587,25
330.47,-4.39242,52.9633,25
342.755,-4.77688,67.1641,25
370.503,-4.55827,94.9196,25
384.077,-4.18248,106.24,25
402.158,-3.38917,121.319,25
416.416,-2.69427,134.056,25
428.121,-1.95091,150.876,25
434.626,-1.12342,171.108,25
430.06,-0.372827,194.822,25
419.386,-0.114286,212.602,25
405.201,-0.269533,225.335,25
387.613,-0.649578,238.686,25
368.531,-1.63415,245.22,25
351.783,-2.7776,247.435,25
328.318,-4.666,251.834,25
311.129,-5.73592,256.006,25
285.109,-5.89595,266.746,25
269.723,-5.7221,273.212,25
254.461,-5.83493,281.462,25
240.543,-6.07898,287.162,25
229.066,-6.34115,291.863,25
219.745,-6.67223,295.736,25
209.535,-7.07982,302.231,25
202.006,-7.12516,310.437,25
198.552,-7.13322,323.007,25
201.381,-6.74948,334.943,25
203.456,-6.517,356.704,25
197.403,-6.58749,366.827,25
186.045,-6.9178,376.637,25
164.452,-7.27398,382.986,25
149.742,-7.4992,385.186,25
120.405,-8.19827,381.793,25
103.04,-8.54114,373.889,25
75.7045,-8.58373,347.351,25
61.035,-8.34926,328.014,25
44.0641,-7.91566,308.664,25
28.7111,-7.41231,289.849,25
16.127,-6.91534,274.428,25
3.32946,-6.35446,258.744,25
-9.93935,-5.75634,242.484,25
-23.1875,-5.15089,226.248,25
-38.0827,-4.44076,207.995,25
-49.9465,-3.81068,193.455,25
-62.1032,-3.0229,174.688,25
-68.2023,-2.62227,155.767,25
-70.8576,-2.40429,135.356,25
-67.5004,-2.08968,116.529,25
-62.9524,-1.53988,94.9278,25
-57.0797,-1.12451,71.7479,25
-50.4434,-0.590287,38.9573,25
-49.8376,0.144872,16.9999,25
-52.7638,0.77243,-2.23472,25
-57.2127,1.1764,-14.7177,25
-69.2684,1.78018,-38.1663,25
-79.5846,2.25471,-55.6489,25
-88.8187,2.78972,-71.6671,25
-74.6221,2.72982,-124.621,25
-61.5568,3.07871,-127.469,25
-47.803,3.53613,-123.451,25
-28.2367,4.22203,-117.974,25
-18.8731,4.19432,-123.065,25
-11.2562,3.84486,-137.083,25
-14.111,3.68146,-153.891,25
-26.2112,3.8422,-168.643,25
-45.8142,3.70308,-179.277,25
-75.7405,3.4311,-187.134,25
-95.3778,3.34221,-189.217,25
-116.2,3.39141,-184.537,25
-152.345,3.44463,-165.108,25
-170.335,3.46129,-152.958,25
-187.486,3.50873,-142.252,25
-204.989,3.55126,-131.327,25
-222.776,3.56607,-120.223,25
-242.435,3.56547,-107.951,25
-261.167,3.53711,-96.2585,25
-280.236,3.50454,-84.3549,25
-298.651,3.47996,-72.8599,25
-319.569,3.48729,-59.8032,25
-336.754,3.33732,-49.0758,25
-356.089,2.91775,-37.0068,25
-372.186,2.43898,-25.3657,25
-392.071,1.79059,-7.87952,25
-408.848,1.18025,9.09226,25
-423.611,0.522269,28.438,25
-431.408,0.00127823,43.6367,25
-430.246,-0.246242,66.1667,25
-418.722,-0.100863,79.0328,25
-382.588,0.742031,87.3445,25
-371.932,0.956424,93.8845,25
-365.549,1.05364,106.197,25
-364.503,1.11388,114.841,25
-366.13,1.0044,126.392,25
-374.04,0.719337,138.181,25
-387.925,0.226025,146.563,25
-406.36,-0.4207,145.653,25
-429.005,-0.662127,137.68,25
-447.375,-1.12786,122.967,25
-464.855,-1.42105,105.082,25
-480.645,-1.47819,87.6041,25
-491.731,-1.40641,71.1544,25
-501.814,-1.13884,49.8815,25
-508.931,-1.1915,32.1293,25
-515.599,-1.11238,9.56503,25
-517.691,-0.993167,-10.18,25
-516.057,-0.802618,-34.3995,25
-514.443,-0.517747,-53.8514,25
-512.275,-0.147518,-78.03,25
-509.109,0.172388,-95.4274,25
-505.619,0.514144,-114.598,25
-502.057,0.857599,-134.166,25
