x,y,z,radius
-16.6062,-0.597411,-4.62845,12
12.0477,-0.746564,-4.68235,12
32.1614,-0.606729,-4.72019,12
52.26,-0.17087,-4.758,12
83.24,1.54505,-4.81627,12
101.215,2.0204,13.2683,12
91.9193,-0.264395,30.6436,12
62.1246,-5.78529,47.0492,12
32.4406,-10.5624,63.9481,12
1.78861,-14.6759,77.3817,12
-31.6988,-18.9974,87.2623,12
-62.4661,-23.1202,96.4975,12
-89.5828,-26.5961,103.365,12
-117.248,-30.1495,110.372,12
-149.314,-33.0376,118.494,12
-178.211,-33.6061,129.191,12
-210.56,-30.6232,137.447,12
-241.1,-22.913,134.684,12
-271.836,-13.7622,130.443,12
-304.88,-9.61146,128.605,12
-339.529,-9.0978,129.588,12
-372.306,-9.04987,126.497,12
-406.36,-9.33856,124.495,12
-439.7,-9.28126,121.762,12
-534.897,-8.42623,101.688,12
-565.101,-8.44206,95.2456,12
-628.685,-8.44289,78.9709,12
-660.499,-8.44289,71.9182,12
-694.623,-8.44535,64.3533,12
-726.222,-8.42226,56.6944,12
-760.437,-8.1275,47.5905,12
-789.97,-8.06334,36.131,12
-809.862,-7.54963,9.04169,12
-835.338,-7.15534,-12.9307,12
-864.578,-6.89996,-29.8421,12
-882.502,-7.63062,-58.9675,12
-888.345,-9.13092,-89.2273,12
-892.684,-11.3444,-123.362,12
-896.996,-14.2069,-157.277,12
-893.962,-17.8953,-191.889,12
-873.398,-22.2856,-214.928,12
-846.566,-24.4622,-202.664,12
-842.279,-26.0616,-171.885,12
-836.617,-27.2218,-139.528,12
-814.547,-28.5432,-116.672,12
-782.357,-30.6445,-107.709,12
-749.772,-33.0244,-98.6358,12
-718.238,-35.2362,-87.4927,12
-685.089,-37.2959,-77.8662,12
-652.096,-39.0481,-66.6078,12
-620.382,-40.3327,-55.7557,12
-590.543,-41.4228,-61.5936,12
-567.461,-42.6326,-84.1372,12
-557.417,-43.5372,-114.618,12
-558.151,-44.7676,-145.866,12
-573.906,-46.4711,-173.69,12
-595.566,-47.9059,-200.27,12
-616.061,-48.9326,-226.573,12
-654.952,-50.5636,-279.549,12
-660.033,-51.1236,-310.044,12
-643.43,-51.1749,-335.843,12
-623.917,-51.0033,-359.736,12
-623.381,-51.4046,-388.758,12
-638.684,-52.2014,-419.082,12
-654.115,-53.2039,-448.526,12
-660.978,-53.9526,-477.495,12
-643.128,-55.1292,-504.363,12
-613.963,-57.0011,-519.261,12
-585.789,-58.3779,-526.744,12
-541.099,-60.665,-509.904,12
-518.014,-60.737,-489.545,12
-503.328,-59.915,-457.319,12
-492.3,-57.7006,-424.07,12
-484.945,-54.6389,-393.397,12
-480.14,-50.5611,-360.712,12
-477.778,-47.0862,-329.106,12
-477.06,-43.6338,-293.416,12
-475.661,-40.4411,-262.776,12
-470.638,-36.3761,-224.5,12
-455.293,-32.2762,-190.646,12
-437.386,-28.4382,-160.214,12
-419.349,-12.143,-133.443,12
-393.419,-22.0081,-112.622,12
-361.8,-19.5033,-102.788,12
-329.041,-17.2476,-95.4785,12
-296.478,-14.9363,-87.795,12
-263.701,-12.2797,-78.9146,12
-230.913,-9.18352,-67.5228,12
-198.858,-6.07662,-54.1901,12
-170.547,-3.43002,-41.2953,12
-158.12,-1.77253,-23.5539,12
-151.276,-0.676845,-7.09806,12
-136.732,-0.0107234,0.76208,12
-111.657,0.335914,0.488985,12
-73.6609,0.219319,-1.59641,12
-37.9774,-0.127297,-0.535195,12
