x,y,z,radius
-21.601,-0.537909,-3.94286,12
-17.9002,-0.62758,-4.14592,12
-14.0314,-0.670756,-4.3582,12
-10.6075,-0.702672,-4.54608,12
-6.65166,-0.732493,-4.61655,12
-3.30352,-0.752188,-4.59705,12
-0.296261,-0.764793,-4.57955,12
3.48756,-0.77525,-4.55752,12
7.65774,-0.780792,-4.53325,12
12.1266,-0.776554,-4.50724,12
16.7976,-0.762709,-4.48005,12
20.8968,-0.741405,-4.45619,12
23.9848,-0.720654,-4.43821,12
27.1704,-0.692119,-4.41967,12
32.0436,-0.636659,-4.3913,12
35.1096,-0.59503,-4.37345,12
38.8271,-0.538019,-4.35181,12
43.3919,-0.451918,-4.32524,12
47.9459,-0.349297,-4.29872,12
51.549,-0.235436,-4.27775,12
56.1325,-0.0174773,-4.25106,12
60.3315,0.208475,-4.22662,12
63.4666,0.378053,-4.20837,12
67.6644,0.583543,-4.18394,12
71.7903,0.801572,-4.15992,12
75.5101,1.05162,-3.97472,12
78.9717,1.26552,-3.64489,12
82.2624,1.45628,-3.33135,12
85.3318,1.61041,-3.03889,12
89.0865,1.78749,-2.31965,12
92.0897,1.93383,-1.31317,12
95.1093,2.0813,0.147516,12
97.831,2.20826,1.95693,12
100.3,2.30214,4.11882,12
102.403,2.34872,6.54824,12
104.194,2.3059,9.32697,12
105.487,2.22387,12.113,12
106.39,2.13903,15.0154,12
106.975,2.05019,18.8139,12
106.977,1.95269,22.3285,12
106.561,1.83999,25.4004,12
105.741,1.67715,28.4326,12
104.588,1.44118,31.4632,12
103.251,1.17528,34.2108,12
101.396,0.739075,37.0101,12
99.3074,0.234465,39.4547,12
96.9319,-0.383349,41.7948,12
94.2408,-1.01236,44.0118,12
91.4941,-1.649,45.9052,12
88.5765,-2.25297,47.6364,12
85.3535,-2.88122,49.3454,12
82.1799,-3.49275,50.9,12
78.9847,-4.0911,52.3823,12
75.6063,-4.72374,53.9496,12
72.879,-5.17937,55.2148,12
69.955,-5.67088,56.5713,12
66.7419,-6.18607,58.0619,12
63.1468,-6.79355,59.7297,12
59.5094,-7.32965,61.4172,12
55.8948,-7.90532,63.0941,12
52.1099,-8.46844,64.8499,12
47.5753,-9.13638,66.9536,12
43.9171,-9.64154,68.6507,12
40.1295,-10.1715,70.4078,12
36.7542,-10.6226,71.7237,12
32.6453,-11.1413,73.3256,12
28.5754,-11.6722,74.9124,12
24.5389,-12.1668,76.4861,12
19.9109,-12.746,78.2904,12
15.1146,-13.3574,80.1604,12
10.8042,-13.9078,81.8408,12
8.00029,-14.2677,82.934,12
3.51957,-14.8209,84.6809,12
-1.6448,-15.4902,86.6943,12
-4.63152,-15.8657,87.8588,12
-10.0655,-16.5615,89.9774,12
-15.6045,-17.2557,91.3979,12
-20.4725,-17.851,92.4431,12
-23.5509,-18.2321,93.1039,12
-28.3723,-18.8651,94.139,12
-31.6207,-19.2733,94.8364,12
-36.5452,-19.9004,95.8936,12
-40.0124,-20.3641,96.638,12
-45.262,-21.0462,97.765,12
-48.509,-21.4613,98.4621,12
-53.4409,-22.1153,99.5209,12
-56.7056,-22.5257,100.222,12
-61.9821,-23.2143,101.355,12
-65.8718,-23.6923,102.19,12
-70.1827,-24.2441,103.115,12
-75.054,-24.8432,104.161,12
-80.1835,-25.4961,105.262,12
-84.1913,-26.0107,106.123,12
-88.7695,-26.6099,107.105,12
-93.4851,-27.2165,108.118,12
-97.3686,-27.7179,108.952,12
-102.041,-28.3484,109.955,12
-106.762,-28.9472,110.968,12
-110.768,-29.4577,111.828,12
-115.496,-30.0579,112.843,12
-120.441,-30.6649,113.905,12
