x,y,z,radius
-7.47391,-0.727582,-4.92115,12
-4.35109,-0.747203,-4.97566,12
-1.26583,-0.76059,-5.02952,12
1.83989,-0.771052,-5.08372,12
5.10989,-0.777755,-5.1408,12
8.33159,-0.780631,-5.19704,12
11.3326,-0.777689,-5.24942,12
14.5121,-0.770065,-5.30492,12
17.5292,-0.759006,-5.35759,12
20.6023,-0.744266,-5.41123,12
24.0506,-0.719348,-5.47142,12
27.2577,-0.690395,-5.5274,12
31.0638,-0.648795,-5.59384,12
34.5625,-0.604142,-5.6549,12
38.2049,-0.548985,-5.57464,12
41.3682,-0.492641,-5.2954,12
44.625,-0.427502,-5.0079,12
47.8905,-0.349629,-4.73538,12
51.2615,-0.244973,-4.7326,12
54.7787,-0.0933329,-4.80841,12
59.1033,0.142734,-4.90163,12
62.3555,0.315783,-4.97173,12
65.3713,0.464748,-5.03674,12
68.437,0.623526,-5.10282,12
71.6906,0.800981,-5.17295,12
74.7516,0.998343,-5.23893,12
77.7735,1.19669,-5.30406,12
81.496,1.41819,-5.3843,12
84.8233,1.5913,-5.3022,12
87.9334,1.75082,-4.88896,12
91.2279,1.90461,-4.07891,12
94.6986,2.09816,-2.75438,12
97.5753,2.23087,-1.24002,12
100.076,2.34768,0.452977,12
102.952,2.46424,2.97177,12
105.042,2.51769,5.32669,12
106.893,2.47389,7.99852,12
108.376,2.38897,10.804,12
109.524,2.32012,13.8377,12
110.26,2.26979,16.8862,12
110.616,2.2158,20.0185,12
110.573,2.15974,23.1429,12
110.159,2.08181,26.2662,12
109.393,1.95264,29.591,12
108.317,1.79269,32.4806,12
106.93,1.50776,35.3178,12
105.384,1.16195,37.9258,12
103.632,0.749145,40.4017,12
101.685,0.220274,42.7225,12
104.015,0.737583,40.7004,12
106.398,1.21116,38.8519,12
103.976,0.756955,40.6738,12
101.411,0.22651,42.2846,12
98.6382,-0.338752,43.7152,12
95.7894,-0.900037,44.8952,12
92.8881,-1.4197,45.8283,12
89.8598,-1.94154,46.542,12
86.8874,-2.44632,47.1547,12
83.7913,-2.96698,47.7928,12
80.8359,-3.42665,48.402,12
77.6754,-3.90912,49.0754,12
74.7258,-4.44578,49.8844,12
71.6186,-4.97434,50.8307,12
68.4915,-5.47744,52.1454,12
65.177,-6.01763,53.6465,12
62.3786,-6.50558,55.0966,12
59.6026,-7.00816,56.9467,12
56.5224,-7.53293,59.0752,12
53.7668,-8.01003,60.9794,12
50.6338,-8.51017,63.1444,12
47.925,-8.95312,65.0163,12
45.1317,-9.40328,66.8969,12
42.0793,-9.83902,68.5626,12
38.8186,-10.3102,70.2736,12
35.8476,-10.708,71.8327,12
32.9011,-11.12,73.3789,12
29.4298,-11.5987,75.1452,12
25.8889,-12.0296,76.5313,12
23.009,-12.3973,77.5819,12
20.0097,-12.7662,78.676,12
16.9323,-13.1453,79.7985,12
13.852,-13.5246,80.9221,12
10.6553,-13.9171,81.9384,12
7.3149,-14.3155,82.6676,12
3.95041,-14.7253,83.361,12
0.474049,-15.1281,84.0774,12
-3.13691,-15.5653,84.8217,12
-6.81246,-16.0277,85.5793,12
-10.5233,-16.4701,86.344,12
-14.2108,-16.939,87.104,12
-17.9333,-17.3817,87.8712,12
-21.5455,-17.8361,88.6156,12
-25.2897,-18.3183,89.3874,12
-28.9348,-18.7818,90.1387,12
-32.5447,-19.2434,90.8827,12
-36.0323,-19.7147,91.6016,12
-39.6266,-20.1888,92.3424,12
-43.2755,-20.664,93.0944,12
-46.942,-21.1337,93.85,12
-50.7162,-21.6335,94.6278,12
-54.4676,-22.1308,95.4011,12
-58.1554,-22.5991,96.1612,12
-62.0646,-23.1109,96.9669,12
-65.6965,-23.5687,97.7154,12
-69.3202,-24.023,98.6224,12
-72.9107,-24.4838,99.7645,12
-76.6639,-24.9645,100.774,12
-80.6206,-25.4683,101.564,12
-84.4366,-25.9576,102.629,12
-87.9426,-26.413,103.953,12
-91.652,-26.9151,105.017,12
-95.347,-27.394,105.937,12
-98.973,-27.8881,106.678,12
-102.737,-28.3534,107.207,12
-106.561,-28.8372,107.744,12
-110.412,-29.3293,108.285,12
-114.2,-29.7891,108.853,12
-117.972,-30.2453,109.755,12
-122.07,-30.7037,110.79,12
-125.984,-31.139,111.779,12
-129.857,-31.532,112.757,12
-133.848,-31.9161,113.765,12
-137.748,-32.2653,114.985,12
-141.695,-32.5831,116.26,12
-145.567,-32.8587,117.51,12
-149.415,-33.0869,118.753,12
-153.276,-33.2682,120,12
-157.156,-33.4193,121.253,12
-161,-33.5516,122.495,12
-164.779,-33.6397,123.715,12
-168.914,-33.676,125.05,12
-172.613,-33.6556,126.245,12
-176.413,-33.6131,127.472,12
-180.144,-33.5597,128.678,12
-183.891,-33.4675,129.805,12
-187.561,-33.3273,130.602,12
-191.482,-33.109,131.418,12
-195.486,-32.8184,132.252,12
-199.613,-32.4012,133.111,12
-203.465,-31.8969,133.913,12
-207.281,-31.291,134.707,12
-211.163,-30.6227,135.426,12
-215.063,-29.8778,135.746,12
-218.869,-29.0961,135.799,12
-222.622,-28.156,135.851,12
-226.199,-27.2146,135.9,12
-229.376,-26.3345,135.944,12
-232.444,-25.5143,135.987,12
-235.486,-24.6656,135.972,12
-238.619,-23.7275,135.673,12
-241.883,-22.736,135.255,12
-245.197,-21.6417,134.831,12
-248.543,-20.6237,134.403,12
-251.937,-19.5766,133.968,12
-255.51,-18.4918,133.511,12
-258.972,-17.4184,133.067,12
-262.392,-16.429,132.629,12
-265.96,-15.4611,132.173,12
-269.756,-14.4051,131.686,12
-273.538,-13.3938,131.202,12
-277.217,-12.4655,130.731,12
-281.016,-11.6768,130.244,12
-284.873,-11.0453,129.75,12
-288.765,-10.5386,129.541,12
-292.709,-10.1463,129.596,12
-296.604,-9.89862,129.739,12
-300.615,-9.74901,130.304,12
-304.462,-9.60242,130.993,12
-308.276,-9.54746,131.676,12
-311.885,-9.48642,132.323,12
-315.155,-9.43655,132.771,12
-318.414,-9.38156,133.089,12
-321.511,-9.33667,133.391,12
-325.431,-9.2816,133.694,12
-328.979,-9.23633,133.721,12
-332.817,-9.19292,133.491,12
-336.086,-9.15908,133.256,12
-339.426,-9.07818,133.03,12
-343.236,-9.09372,133.062,12
-346.624,-9.06892,133.118,12
-350.046,-9.04955,133.175,12
-354.293,-9.03516,133.246,12
-357.322,-9.03217,133.24,12
-360.411,-9.0349,133.017,12
-363.716,-9.0432,132.754,12
-367.142,-9.05628,132.48,12
-370.522,-9.07114,132.211,12
-373.935,-9.08583,131.939,12
-377.534,-9.09842,131.726,12
-381.032,-9.11007,131.781,12
-384.755,-9.12259,131.87,12
-388.374,-9.13603,131.957,12
-391.931,-9.15143,132.042,12
-395.496,-9.16864,132.127,12
-399.3,-9.19558,131.943,12
-403.033,-9.2298,131.515,12
-406.694,-9.26344,131.095,12
-410.559,-9.30183,130.651,12
-414.294,-9.3337,130.223,12
-418.019,-9.35791,129.795,12
-421.77,-9.3692,129.365,12
-425.593,-9.36219,128.926,12
-429.439,-9.33544,128.485,12
-433.095,-9.29005,128.065,12
-436.876,-9.23078,127.631,12
-440.655,-9.16722,127.115,12
-444.211,-9.11275,126.534,12
-447.891,-9.06124,125.932,12
-451.607,-9.01245,125.324,12
-455.376,-8.9741,124.707,12
-459.072,-8.94918,124.103,12
-462.861,-8.93324,123.483,12
-466.599,-8.92141,122.668,12
-470.268,-8.90926,121.834,12
-473.958,-8.89355,120.995,12
-477.603,-8.87155,120.166,12
-481.362,-8.84491,119.312,12
-485.044,-8.80972,118.475,12
-488.778,-8.77058,117.626,12
-492.59,-8.72931,116.759,12
-496.197,-8.68903,115.863,12
-499.706,-8.65164,114.78,12
-503.223,-8.61382,113.694,12
-506.901,-8.57807,112.559,12
-510.447,-8.54673,111.464,12
-514.314,-8.51833,110.27,12
-518.03,-8.49543,109.123,12
-521.606,-8.47936,108.019,12
-525.441,-8.46837,106.835,12
-529.088,-8.46138,105.709,12
-532.704,-8.45707,104.593,12
-536.276,-8.45597,103.568,12
-540.05,-8.45643,102.519,12
-543.76,-8.458,101.487,12
-547.468,-8.46063,100.457,12
-551.487,-8.46405,99.3396,12
-555.608,-8.4675,98.1941,12
-559.318,-8.46984,97.163,12
-562.954,-8.47148,96.1521,12
-567.424,-8.47255,94.9095,12
-571.235,-8.47288,93.8503,12
-575.112,-8.47289,92.9465,12
-579.077,-8.47289,92.1725,12
-583.05,-8.47289,91.397,12
-586.728,-8.47289,90.679,12
-590.503,-8.47289,89.9423,12
-594.266,-8.47289,89.2909,12
-598.114,-8.47289,88.8543,12
-602.041,-8.47289,88.4088,12
-605.883,-8.47289,87.9729,12
-609.648,-8.47289,87.5456,12
-613.375,-8.47289,86.9724,12
-617.149,-8.47289,86.2583,12
-620.825,-8.47289,85.5626,12
-624.497,-8.47289,84.8675,12
-628.58,-8.47289,84.0947,12
-632.207,-8.47289,83.2595,12
-635.868,-8.47289,82.0814,12
-639.454,-8.47289,80.8952,12
-643.023,-8.47289,79.7147,12
-646.655,-8.47289,78.5137,12
-650.235,-8.47289,77.3296,12
-653.665,-8.47289,76.3764,12
-657.276,-8.47289,75.4031,12
-660.893,-8.47289,74.4283,12
-664.449,-8.47289,73.47,12
-667.99,-8.47289,72.5157,12
-671.626,-8.47289,71.5358,12
-675.231,-8.47289,70.5644,12
-679.04,-8.47289,69.6212,12
-682.93,-8.47289,68.6944,12
-686.59,-8.47293,67.8225,12
-690.231,-8.47342,66.9552,12
-693.916,-8.47473,66.0771,12
-697.953,-8.47749,65.1152,12
-702.071,-8.48142,64.3814,12
-705.588,-8.4845,63.7892,12
-709.326,-8.48649,63.16,12
-713.176,-8.48654,62.5121,12
-716.98,-8.48333,61.8717,12
-720.857,-8.47564,61.0511,12
-724.923,-8.46132,59.8987,12
-728.873,-8.43933,58.7787,12
-732.587,-8.41199,57.7259,12
-736.241,-8.38131,56.6899,12
-739.879,-8.34787,55.6586,12
-743.511,-8.31233,54.6288,12
-747.082,-8.2763,53.6164,12
-750.792,-8.23874,52.4863,12
-754.291,-8.2066,51.0318,12
-757.704,-8.17771,49.4737,12
-761.135,-8.15484,47.9069,12
-764.591,-8.13822,46.3286,12
-768.04,-8.12913,44.7538,12
-771.488,-8.1254,43.1793,12
-774.931,-8.12538,41.6069,12
-778.931,-8.12762,39.5726,12
-782.022,-8.12749,37.5394,12
-785.007,-8.12046,35.4283,12
-788.031,-8.09887,33.2902,12
-791.102,-8.04403,31.1182,12
-794.113,-7.93858,28.9034,12
-796.871,-7.79857,26.4367,12
-799.392,-7.66254,23.6557,12
-801.582,-7.58031,20.6663,12
-803.552,-7.56848,17.4276,12
-805.441,-7.57745,14.2623,12
-807.335,-7.57963,11.0897,12
-809.477,-7.57963,7.69595,12
-811.779,-7.57963,4.74158,12
-814.385,-7.57963,2.03728,12
-817.285,-7.58005,-0.395279,12
-820.288,-7.58332,-2.74342,12
-823.219,-7.50491,-5.03509,12
-826.086,-7.41197,-7.18923,12
-829.205,-7.33952,-9.10276,12
-832.678,-7.26115,-10.8481,12
-835.854,-7.17493,-12.4121,12
-838.997,-7.08769,-13.9603,12
-842.276,-7.01151,-15.5753,12
-845.46,-6.95664,-17.1436,12
-848.745,-6.92762,-18.7617,12
-852.201,-6.91649,-20.4635,12
-855.662,-6.91773,-22.2575,12
-858.897,-6.92424,-24.3684,12
-861.961,-6.92925,-26.7756,12
-864.99,-6.92996,-29.1989,12
-867.856,-6.92996,-31.598,12
-870.564,-6.92996,-34.3629,12
-873.043,-6.92293,-37.265,12
-875.402,-6.92237,-40.0261,12
-877.533,-6.99545,-42.8921,12
-879.471,-7.14301,-46.1603,12
-881.032,-7.29845,-49.5655,12
-882.372,-7.44319,-53.0684,12
-883.718,-7.58496,-56.5849,12
-885.07,-7.71452,-60.1189,12
-886.274,-7.84389,-63.6754,12
-887.167,-8.0081,-67.315,12
-888.019,-8.18,-70.9193,12
-888.873,-8.36213,-74.532,12
-889.69,-8.54241,-77.9863,12
-890.503,-8.73005,-81.4222,12
-891.352,-8.93558,-85.0133,12
-892.21,-9.14884,-88.6414,12
-892.918,-9.36554,-92.2504,12
-893.402,-9.59909,-95.9912,12
-893.875,-9.82341,-99.6497,12
-894.347,-10.051,-103.302,12
-894.84,-10.3092,-107.114,12
-895.328,-10.5457,-110.893,12
-895.823,-10.8136,-114.724,12
-896.194,-11.0712,-118.573,12
-896.587,-11.3483,-122.643,12
-896.961,-11.6332,-126.529,12
-897.335,-11.9142,-130.418,12
-897.697,-12.206,-134.164,12
-898.06,-12.511,-137.934,12
-898.468,-12.8645,-142.163,12
-898.821,-13.1801,-145.825,12
-899.161,-13.5053,-149.357,12
-899.515,-13.8393,-153.03,12
-899.855,-14.1787,-156.556,12
-900.064,-14.521,-160.268,12
-899.959,-14.8852,-163.961,12
-899.831,-15.2108,-167.438,12
-899.705,-15.5407,-170.848,12
-899.58,-15.8713,-174.245,12
-899.332,-16.2143,-177.625,12
-898.767,-16.5531,-180.872,12
-897.897,-16.9084,-184.009,12
-896.768,-17.2712,-186.942,12
-895.429,-17.6044,-189.634,12
-893.416,-18.062,-192.842,12
-891.477,-18.5315,-195.775,12
-889.381,-19.0847,-198.947,12
-887.495,-19.6414,-201.802,12
-885.509,-20.1825,-204.409,12
-882.895,-20.7876,-207.121,12
-879.841,-21.3504,-209.581,12
-876.745,-21.8568,-211.503,12
-873.298,-22.3394,-213.094,12
-870.242,-22.6627,-214.102,12
-867.07,-22.9183,-214.776,12
-863.589,-23.1675,-215.099,12
-860.094,-23.4157,-215.009,12
-856.602,-23.6571,-214.479,12
-853.323,-23.8767,-213.564,12
-850.103,-24.0615,-212.206,12
-847.385,-24.1921,-210.651,12
-844.814,-24.3037,-208.745,12
-842.382,-24.42,-206.441,12
-840.207,-24.539,-203.769,12
-838.596,-24.6573,-201.221,12
-837.227,-24.7927,-198.362,12
-836.127,-24.9673,-195.126,12
-835.492,-25.1444,-192.143,12
-835.171,-25.356,-188.558,12
-835.278,-25.5368,-185.197,12
-835.761,-25.689,-181.937,12
-836.536,-25.8273,-178.74,12
-837.475,-25.9821,-174.955,12
-838.37,-26.121,-171.346,12
-839.137,-26.2416,-168.252,12
-840.064,-26.3705,-164.517,12
-840.75,-26.4904,-161.111,12
-841.053,-26.6082,-157.787,12
-840.989,-26.7334,-154.207,12
-840.396,-26.8828,-150.019,12
-839.674,-26.9926,-147.005,12
-838.633,-27.1084,-143.907,12
-837.273,-27.214,-140.882,12
-835.546,-27.3092,-137.886,12
-833.503,-27.4093,-135.048,12
-831.202,-27.5342,-132.346,12
-828.63,-27.6998,-129.496,12
-825.769,-27.8585,-126.899,12
-822.646,-28.0058,-124.628,12
-819.291,-28.228,-122.706,12
-815.713,-28.459,-121.145,12
-812.042,-28.6775,-119.696,12
-808.558,-28.8884,-118.321,12
-804.99,-29.0922,-116.914,12
-801.473,-29.3117,-115.526,12
-797.968,-29.5382,-114.143,12
-794.524,-29.76,-112.935,12
-791.002,-29.9938,-111.83,12
-787.538,-30.2543,-110.743,12
-783.924,-30.5302,-109.609,12
-780.325,-30.8143,-108.48,12
-776.768,-31.099,-107.364,12
-773.128,-31.386,-106.222,12
-769.506,-31.6682,-105.086,12
-765.721,-31.9543,-103.898,12
-762.009,-32.2122,-102.733,12
-758.375,-32.465,-101.593,12
-754.78,-32.7125,-100.465,12
-751.147,-32.9664,-99.3254,12
-747.628,-33.1977,-98.1413,12
-744.05,-33.4458,-96.8344,12
-740.406,-33.6969,-95.5029,12
-736.756,-33.962,-94.1698,12
-733.135,-34.221,-92.847,12
-729.513,-34.4767,-91.5237,12
-725.885,-34.7352,-90.1979,12
-722.228,-34.991,-88.8622,12
