time_s,x,y,z,yaw_deg,speed_ms
0.9554,40.3500,0.3426,3.8300,-267.0000,0.0000
1.3888,40.6516,0.3426,3.8142,-267.0000,2.8142
1.4725,40.9436,0.3426,3.7989,-267.0000,3.9861
1.5563,41.3319,0.3426,3.7785,-267.0000,5.1600
1.6388,41.8119,0.3427,3.7581,-268.5967,6.3148
1.7292,42.4484,0.3426,3.7632,-270.9993,7.5805
1.8123,43.1336,0.3427,3.7752,-270.9993,8.7442
1.8931,43.8930,0.3426,3.7884,-270.9993,9.8752
1.9866,44.8859,0.3427,3.8057,-270.9993,11.1838
2.0697,45.8714,0.3426,3.8229,-270.9993,12.3470
2.1533,46.9606,0.3426,3.8419,-270.9993,13.5175
2.2365,48.1416,0.3426,3.8625,-270.9993,14.6824
2.3200,49.4249,0.3426,3.8849,-270.9993,15.8519
2.4030,50.7957,0.3426,3.9088,-270.9993,17.0130
2.4929,52.3906,0.3426,3.9366,-270.9993,18.2722
2.5770,53.9836,0.3427,3.9644,-270.9993,19.4492
2.6603,55.6423,0.3426,3.9933,-270.9993,20.0000
2.7438,57.3128,0.3426,4.0225,-270.9993,20.0000
2.8338,59.1121,0.3426,4.0539,-270.9993,20.0000
2.9238,60.9112,0.3426,4.0852,-270.9993,20.0000
3.0077,62.5891,0.3427,4.1145,-270.9993,20.0000
3.0897,64.2304,0.3426,4.1431,-270.9993,20.0000
3.1815,66.0647,0.3426,4.1751,-270.9993,20.0000
3.2644,67.7178,0.3426,4.0754,-262.1940,20.0000
3.3473,69.3257,0.3426,3.6795,-251.7440,20.0000
3.4377,70.9640,0.3427,2.9227,-240.3520,20.0000
3.5208,72.3129,0.3426,1.9537,-229.8692,20.0000
3.6046,73.4917,0.3426,0.7645,-222.8518,20.0000
3.6878,74.6229,0.3426,-0.4549,-222.8518,20.0000
3.7708,75.7523,0.3426,-1.6724,-222.8518,20.0000
3.8549,76.8961,0.3426,-2.9053,-222.8518,20.0000
