time_s,x,y,z,yaw_deg,speed_ms
0.9529,40.3500,0.3426,3.8300,-267.0000,0.0000
1.1329,40.5927,0.3426,3.8173,-267.0000,2.5193
1.2143,40.8222,0.3426,3.8053,-267.0000,2.5909
1.2974,41.0914,0.3426,3.7911,-267.0000,3.7541
1.3884,41.4976,0.3426,3.7699,-267.0000,5.0278
1.4716,41.9716,0.3427,3.7450,-267.0000,6.1923
1.5548,42.5432,0.3426,3.7151,-267.0000,7.3583
1.6459,43.2793,0.3427,3.6990,-270.6798,8.6327
1.7290,44.0529,0.3426,3.7348,-273.0222,9.7970
1.8120,44.9204,0.3427,3.7806,-273.0222,10.9582
1.9024,45.9756,0.3426,3.8363,-273.0222,12.2241
1.9858,47.0517,0.3426,3.8563,-268.4110,13.3922
2.0756,48.3164,0.3426,3.7845,-266.6660,14.6488
2.1594,49.5990,0.3426,3.7098,-266.6660,15.8219
2.2425,50.9694,0.3426,3.6658,-271.0691,16.9857
2.3254,52.4238,0.3426,3.8241,-278.8047,18.1462
2.4091,53.9810,0.3426,4.0653,-278.8047,19.3178
2.4928,55.6233,0.3426,4.3197,-278.8047,20.0000
2.5757,57.2704,0.3426,4.4904,-271.8576,20.0000
2.6595,58.9454,0.3426,4.4164,-266.5985,20.0000
2.7428,60.6077,0.3426,4.3176,-266.5985,20.0000
2.8260,62.2684,0.3426,4.2189,-266.5985,20.0000
2.9092,63.9303,0.3427,4.1201,-266.5985,20.0000
2.9922,65.5816,0.3426,3.9720,-261.3999,20.0000
3.0760,67.2003,0.3426,3.5454,-250.8351,20.0000
3.1594,68.7586,0.3426,2.9493,-249.0660,20.0000
3.2425,70.2896,0.3426,2.3082,-243.7709,20.0000
3.3260,71.6990,0.3426,1.4147,-233.2390,20.0000
3.4093,72.9174,0.3427,0.2831,-222.7447,20.0000
3.4923,73.9075,0.3426,-1.0484,-212.2729,20.0000
3.5774,74.7013,0.3426,-2.5516,-207.0001,20.0000
3.6592,75.4441,0.3759,-4.0094,-207.0001,20.0000
3.7426,76.2019,0.3759,-5.4967,-207.0001,20.0000
3.8262,76.9610,0.3759,-6.9864,-207.0001,20.0000
3.9094,77.7138,0.3674,-8.4639,-207.0001,20.0000
3.9922,78.4156,0.3426,-9.9457,-201.9303,18.8883
4.0763,78.7994,0.3426,-11.1908,-193.7126,13.3632
4.1590,78.9855,0.3426,-12.0824,-191.5941,9.5070
4.2420,79.1161,0.3426,-12.7188,-191.5941,6.7556
4.3255,79.2092,0.3426,-13.1729,-191.5941,4.7919
4.4091,79.2744,0.3426,-13.4905,-191.5941,3.1997
4.4930,79.3156,0.3426,-13.6922,-191.4020,2.0957
4.6594,79.3827,0.3426,-14.0690,-188.9896,3.2203
4.7420,79.4298,0.3426,-14.3876,-188.3631,4.3778
4.8261,79.4917,0.3426,-14.8086,-188.3631,5.5543
4.9099,79.5547,0.3426,-15.3279,-185.5501,6.7280
4.9924,79.5899,0.3427,-15.9374,-181.7013,7.8831
5.0760,79.5783,0.3426,-16.6531,-177.1887,9.0533
5.1593,79.4987,0.3426,-17.4598,-172.9762,10.2195
5.2424,79.3879,0.3427,-18.3589,-172.9762,11.3833
5.3258,79.2332,0.3426,-19.3523,-168.6699,12.5504
5.4096,78.9385,0.3426,-20.4214,-161.6768,13.7241
5.4925,78.4784,0.3426,-21.5208,-154.1598,14.8836
5.5758,77.8187,0.3427,-22.6360,-145.9870,16.0501
5.6596,76.9341,0.3426,-23.7218,-137.1510,17.2230
5.7422,75.8307,0.3427,-24.7053,-127.8252,18.3804
5.8260,74.4775,0.3427,-25.5493,-117.7613,19.5530
5.9093,72.9343,0.3426,-26.1618,-107.2829,20.0000
5.9924,71.3471,0.3426,-26.6556,-107.2829,20.0000
6.0755,70.0421,0.3427,-27.0617,-107.2829,14.2112
6.1592,69.1083,0.3426,-27.3522,-107.2829,10.0664
6.2421,68.4274,0.3426,-27.5626,-106.5601,8.3954
6.3262,67.7149,0.3426,-27.7384,-101.9340,8.1881
6.4090,67.1654,0.3426,-27.8390,-100.0267,5.8227
6.4923,66.7728,0.3426,-27.9084,-100.0267,4.1332
6.5758,66.4773,0.3426,-27.9580,-98.8076,3.6791
6.6596,66.1151,0.3427,-28.0055,-96.5054,4.8512
6.7499,65.6134,0.3427,-28.0523,-95.1325,6.1159
6.8329,65.0512,0.3426,-28.0995,-93.8867,7.2787
6.9229,64.3319,0.3426,-28.1157,-89.3514,8.5378
7.0066,63.5611,0.3426,-28.0686,-84.4830,9.7104
7.0901,62.6975,0.3427,-27.9852,-84.4830,10.8792
7.1732,61.7474,0.3426,-27.8500,-79.3794,12.0423
7.2568,60.7182,0.3427,-27.5832,-72.6751,13.2126
7.3395,59.6511,0.3427,-27.1619,-65.4394,14.3700
7.4234,58.5243,0.3426,-26.5882,-62.7992,15.5458
7.5064,57.3280,0.3426,-25.9733,-62.7992,16.7065
7.5894,56.0442,0.3426,-25.3136,-62.7992,17.8689
7.6730,54.6640,0.3426,-24.6042,-62.7992,19.0400
7.7567,53.1959,0.3427,-23.8598,-64.6023,20.0000
7.8394,51.6363,0.3427,-23.3132,-75.0318,20.0000
7.9236,50.0084,0.3426,-22.8780,-75.0318,20.0000
8.0071,48.3970,0.3426,-22.4472,-75.0318,20.0000
8.0899,46.7965,0.3426,-22.0193,-75.0318,20.0000
8.1729,45.2001,0.3426,-21.5677,-71.6377,20.0000
8.2563,43.6831,0.3656,-20.8764,-61.1163,20.0000
8.3402,42.2243,0.3759,-20.0716,-61.1163,19.6669
8.4232,40.7950,0.3759,-19.2991,-63.1289,19.2979
8.5067,39.3279,0.3475,-18.6772,-69.4518,19.3997
8.5896,37.8389,0.3759,-18.1191,-69.4518,19.4924
8.6726,36.2749,0.3426,-17.5858,-74.6354,20.0000
8.7565,34.6207,0.3426,-17.3180,-85.2116,20.0000
8.8400,32.9527,0.3426,-17.2290,-86.9467,20.0000
8.9230,31.2949,0.3426,-17.1650,-90.3711,20.0000
9.0064,29.6401,0.3426,-17.3536,-100.8823,20.0000
9.0896,28.0063,0.3426,-17.6677,-100.8823,20.0000
9.1821,26.1890,0.3427,-18.0171,-100.8823,20.0000
9.2636,24.6441,0.3426,-18.2997,-98.8677,18.8623
9.3464,23.1281,0.3427,-18.4458,-93.1060,18.0977
9.4300,21.6451,0.3427,-18.4815,-91.2195,17.5399
9.5132,20.2052,0.3426,-18.5122,-91.2195,17.1386
9.5965,18.7938,0.3426,-18.5422,-91.2195,16.8524
9.6800,17.3965,0.3426,-18.5719,-91.2195,16.6411
9.7634,16.0181,0.3426,-18.5281,-86.0028,16.4891
9.8466,14.6405,0.3427,-18.3936,-84.2822,17.0082
9.9303,13.1672,0.3427,-18.2460,-84.2822,18.1799
10.0132,11.6114,0.3426,-18.0902,-84.2822,19.3407
10.0969,9.9578,0.3426,-17.9247,-84.2822,20.0000
10.1805,8.2946,0.3427,-17.7581,-84.2822,20.0000
10.2703,6.5075,0.3426,-17.5792,-84.2822,20.0000
10.3534,4.8529,0.3426,-17.4135,-84.2822,20.0000
10.4371,3.1871,0.3426,-17.2467,-84.2822,20.0000
10.5203,1.5443,0.3426,-16.9976,-77.3013,20.0000
10.6033,-0.0523,0.3426,-16.5409,-73.7332,20.0000
